date,ilosc,articles,customers,year,month,day,day_of_year,week_of_year,quarter,season,month_sin,month_cos,day_sin,day_cos,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,quarter_sin,quarter_cos,season_sin,season_cos,is_last_days,is_weak_month,is_saturday,is_first_days,ilosc_log,ilosc_log_std,customers_log,customers_log_std,articles_log,articles_log_std
2022-02-28,1606.449,1895,109,2022,2,28,59,9,1,1,0.8660254037844386,0.5000000000000001,-0.40673664307580015,0.913545457642601,0.8498170915275278,0.5270777086423722,0.8840670933553547,0.4673600051846697,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,1,0,0,0,7.382403729325437,1.4970509648071786,4.700480365792417,1.6695302461292731,7.547501682814967,1.4398243398588273
2022-03-01,154.921,177,26,2022,3,1,60,9,1,2,1.0,6.123233995736766e-17,0.20791169081775931,0.9781476007338057,0.8587639582758029,0.5123714121284237,0.8840670933553547,0.4673600051846697,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0,0,0,1,5.049349468724147,-0.7576212212889505,3.295836866004329,-1.9652960212100388,5.181783550292085,-1.8058334647415002
2022-03-02,602.004,549,55,2022,3,2,61,9,1,2,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,0.8674563547295969,0.49751328890718066,0.8840670933553547,0.4673600051846697,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0,0,0,1,6.401923830204355,0.5495115976752301,4.02535169073515,-0.07751478152533213,6.309918278226516,-0.2580838685306176
2022-03-03,194.48000000000002,488,55,2022,3,3,62,9,1,2,1.0,6.123233995736766e-17,0.5877852522924731,0.8090169943749475,0.8758917051442429,0.48250774176121847,0.8840670933553547,0.4673600051846697,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0,0,0,1,5.275458072401954,-0.53910903819982,4.02535169073515,-0.07751478152533213,6.192362489474872,-0.41936507020565694
2022-03-04,751.842,700,57,2022,3,4,63,9,1,2,1.0,6.123233995736766e-17,0.7431448254773941,0.6691306063588582,0.8840675099433636,0.4673592171580022,0.8840670933553547,0.4673600051846697,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0,0,0,1,6.623855378425816,0.7639870590660068,4.060443010546419,0.013291783289761256,6.55250788703459,0.0747380540469445
2022-03-07,274.703,540,63,2022,3,7,66,10,1,2,1.0,6.123233995736766e-17,0.9945218953682733,0.10452846326765346,0.9070138128026359,0.4211008707960896,0.9338368745561365,0.35769916371054955,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0,0,0,0,5.619324199363367,-0.20679555312867492,4.1588830833596715,0.2680272819941556,6.293419278846481,-0.28071974613992484
2022-03-08,199.784,483,53,2022,3,8,67,10,1,2,1.0,6.123233995736766e-17,0.9945218953682734,-0.10452846326765333,0.9141279881853337,0.40542572835999735,0.9338368745561365,0.35769916371054955,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0,0,0,0,5.302229703367952,-0.5132368359391198,3.9889840465642745,-0.17162411840226158,6.182084906716632,-0.43346544684525873
2022-03-09,133.705,387,48,2022,3,9,68,10,1,2,1.0,6.123233995736766e-17,0.9510565162951536,-0.30901699437494734,0.9209712877166346,0.38963044953078796,0.9338368745561365,0.35769916371054955,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0,0,0,0,4.903087202252276,-0.8989696115336409,3.8918202981106265,-0.4230568450448233,5.961005339623274,-0.7367765693791182
2022-03-10,261.222,549,51,2022,3,10,69,10,1,2,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0.9275416835791966,0.37371971479046906,0.9338368745561365,0.35769916371054955,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0,0,0,0,5.56919147322545,-0.2552440033619778,3.9512437185814275,-0.2692855787733442,6.309918278226516,-0.2580838685306176
2022-03-11,224.315,463,53,2022,3,11,70,10,1,2,1.0,6.123233995736766e-17,0.7431448254773945,-0.6691306063588579,0.9338372288229252,0.35769823883312546,0.9338368745561365,0.35769916371054955,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0,0,0,0,5.4174994231181275,-0.40183975640748715,3.9889840465642745,-0.17162411840226158,6.139884552226255,-0.49136241606809883
